imfcode,country,year,AMCType,NumAMCOp,NumAMCCountry,NumAMCCountryLag,A1C,A2C,A3C,A4C,A5C,A6C,A7C,F1,F2,F3,F4,F5,F6,F7,source,note
911,ARMENIA,1994,None,,,,,,,,,,,,,,,,,,RR_2008,
911,ARMENIA,1995,None,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1996,None,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1997,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1998,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,1999,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2000,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2001,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2002,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2003,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2004,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2005,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2006,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2007,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2008,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2009,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2010,NA,,,,,,,,,,,,,,,,,,,
911,ARMENIA,2011,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1980,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1981,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1982,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1983,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1984,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1985,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1986,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1987,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1988,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1989,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1990,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1991,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1992,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1993,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1994,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1995,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1996,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1997,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1998,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,1999,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2000,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2001,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2002,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2003,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2004,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2005,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2006,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2007,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2008,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2009,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2010,NA,,,,,,,,,,,,,,,,,,,
314,ARUBA,2011,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1980,NA,,,,,,,,,,,,,,,,,,K_2000,
193,AUSTRALIA,1981,NA,,,,,,,,,,,,,,,,,,LV_2012,
193,AUSTRALIA,1982,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1983,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1984,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1985,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1986,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1987,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1988,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1989,None,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1990,None,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1991,None,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1992,None,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1993,NA,,,,,,,,,,,,,,,,,,,
193,AUSTRALIA,1994,Decentralised,1,1,,1,,,,,,,AMC,,,,,,,http://www.bis.org/publ/plcy06.pdf,
193,AUSTRALIA,1995,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,http://www.audit.sa.gov.au/publications/99-00/a/disposals.html,
193,AUSTRALIA,1996,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,http://www.audit.sa.gov.au/publications/10-11/b/b3/South%20Australian%20Asset%20Management%20Corporation.pdf,
193,AUSTRALIA,1997,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,1998,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,1999,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2000,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2001,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2002,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2003,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2004,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2005,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2006,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2007,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2008,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2009,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2010,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2011,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
193,AUSTRALIA,2012,Decentralised,1,1,1,1,,,,,,,AMC,,,,,,,,
122,AUSTRIA,1980,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1981,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1982,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1983,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1984,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1985,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1986,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1987,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1988,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1989,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1990,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1991,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1992,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1993,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1994,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1995,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1996,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1997,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1998,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,1999,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,2000,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,2001,NA,,,,,,,,,,,,,,,,,,,
122,AUSTRIA,2002,NA,,,,,,,,,,,,,,,,,,,
